,user,text,favorite_count,retweet_count,created_at
72,elonmusk,@Starbie888 @NateSilver538 [Cue Spider-Man meme],3618,158,2022-11-20 20:13:05+00:00
73,elonmusk,@Starbie888 @NateSilver538 What could be more fun than a social network consisting entirely of hall monitors!?,7271,571,2022-11-20 20:12:22+00:00
74,elonmusk,@NateSilver538 🤣🤣💯🎯,23649,1082,2022-11-20 18:36:52+00:00
75,elonmusk,@mtaibbi It is tragic how far The New York Times has fallen – basically just boring af far left brainwashing at this point. The boring part is truly unforgivable!,82652,12922,2022-11-20 14:44:38+00:00
76,elonmusk,World Cup starts soon! Follow on Twitter for best coverage by far.,504267,32496,2022-11-20 14:40:09+00:00
77,elonmusk,@WholeMarsBlog 🤣,34787,1100,2022-11-20 14:36:49+00:00
78,elonmusk,@TomFitton Sure as night follows day …,54995,4478,2022-11-20 14:33:09+00:00
79,elonmusk,@JGreenblattADL @ADL Hey stop defaming me!,351814,18255,2022-11-20 05:14:30+00:00
80,elonmusk,@naiivememe 🔥🔥,36277,1641,2022-11-20 04:57:42+00:00
81,elonmusk,Twitter is ALIVE,1444658,115821,2022-11-20 04:50:20+00:00
82,elonmusk,@EMTSLA @teslaownersSV @RaheemKassam @nypost Good idea,7432,243,2022-11-20 03:54:40+00:00
83,elonmusk,@teslaownersSV @RaheemKassam @nypost Their posts are super boring,15865,701,2022-11-20 03:52:22+00:00
84,elonmusk,@RaheemKassam @nypost They should bring Walter Cronkite back,18747,1252,2022-11-20 03:49:18+00:00
85,elonmusk,@nypost Oh forget it who cares,124358,6614,2022-11-20 03:40:54+00:00
86,elonmusk,@RenataKonkoly @nypost 🤣💯,26965,658,2022-11-20 03:36:12+00:00
87,elonmusk,@nypost Who made this decision?,319593,12708,2022-11-20 03:35:25+00:00
88,elonmusk,@BuzzPatterson 😉,124963,4601,2022-11-20 03:30:23+00:00
89,elonmusk,@KimDotcom Twitter engineering is working on it,62562,2926,2022-11-20 03:29:41+00:00
90,elonmusk,@sriramk Server load is insane rn. Good stress test before World Cup tomorrow!,109810,6329,2022-11-20 02:59:45+00:00
91,elonmusk,@DavidSacks Well-said,56923,2251,2022-11-20 02:35:09+00:00
92,elonmusk,@LefterisJP Lmaooo,42816,1595,2022-11-20 02:10:11+00:00
93,elonmusk,@TrungTPhan 🤣🤣,77492,2405,2022-11-20 02:07:29+00:00
94,elonmusk,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv",960337,129340,2022-11-20 00:53:25+00:00
95,elonmusk,@TheBabylonBee 🤣 but actually,41897,1684,2022-11-20 00:30:26+00:00
96,elonmusk,@MomAngtrades 🤣,111949,4343,2022-11-20 00:15:30+00:00
97,elonmusk,134M people have seen this poll,270859,13321,2022-11-19 23:07:08+00:00
98,elonmusk,@TrungTPhan Red Bull does work tbh,79656,3005,2022-11-19 23:05:34+00:00
99,elonmusk,@BillyM2k @lexfridman Definitely need to improve Twitter’s dopamine/cortisol ratio!,14083,768,2022-11-19 22:49:44+00:00
100,elonmusk,@BillyM2k @waitbutwhy I agree,6196,243,2022-11-19 22:48:54+00:00
101,elonmusk,@micsolana 🤣🤣,7792,273,2022-11-19 21:21:31+00:00
102,elonmusk,The most entertaining outcome is the most likely – my variant on Occam’s Razor,173960,10731,2022-11-19 21:19:48+00:00
103,elonmusk,@alexxubyte Twitter search will add feedback loops to improve result rank based on which result you click on &amp; whether you immediately click back (implies wrong result),6535,391,2022-11-19 21:16:47+00:00
104,elonmusk,"@alexxubyte Notes from last night:
- Maybe deprecate TLS this week, as only needed if Android app &gt;1 year old.
- Home mixer computes Home  ~10X faster than Timeline.
- Ad mixer can greatly improve relevance at cost of lower total ad views. More interesting the ad, more time you look at it.",25432,1488,2022-11-19 21:14:12+00:00
105,elonmusk,@ErrolWebber Most accurate would be to require access to phone GPS for location-specific polls,10009,533,2022-11-19 14:12:19+00:00
106,elonmusk,@ErrolWebber Yes,6590,282,2022-11-19 14:11:07+00:00
107,elonmusk,Fascinating to watch Twitter Trump poll!,458955,24589,2022-11-19 13:23:21+00:00
108,elonmusk,@Nomad_1x Bot &amp; troll armies might be running out of steam soon. Some interesting lessons to clean up future polls.,38402,3951,2022-11-19 13:02:19+00:00
109,elonmusk,@DavidSacks Good question,28478,1482,2022-11-19 12:45:54+00:00
110,elonmusk,@WholeMarsBlog Most amount of people I’ve ever seen in the building by far,214176,8632,2022-11-19 12:19:23+00:00
